MQ2,MQ3,MQ135,Humidity,Temperature,Label
6.75,21.53,22.75,70.9,37.4,Layak
6.7,21.33,22.75,71.0,37.7,Layak
6.72,21.24,22.65,71.0,37.7,Layak
6.72,21.33,22.54,71.1,37.7,Layak
6.61,21.05,22.75,70.9,37.8,Layak
6.67,21.43,22.54,71.0,37.8,Layak
6.61,21.33,22.54,71.0,37.8,Layak
6.61,21.43,22.54,70.9,37.8,Layak
6.61,21.33,22.54,70.9,37.7,Layak
6.53,21.05,22.54,70.9,37.8,Layak
6.56,21.24,22.44,70.9,37.8,Layak
6.56,21.14,22.44,70.8,37.8,Layak
6.53,20.95,22.65,70.8,37.8,Layak
6.51,21.14,22.54,70.9,37.8,Layak
6.53,21.14,22.24,70.8,37.0,Layak
6.51,21.05,22.44,70.8,37.8,Layak
6.48,20.95,22.54,70.8,37.8,Layak
6.48,20.86,22.44,70.9,37.9,Layak
6.51,21.14,22.34,70.8,37.8,Layak
6.48,21.05,22.24,70.9,37.8,Layak
6.48,21.05,22.24,70.9,37.8,Layak
6.45,20.95,22.14,71.5,38.0,Layak
6.45,20.95,22.34,70.9,37.9,Layak
6.43,20.77,22.44,71.0,37.8,Layak
6.4,20.77,22.14,70.9,37.8,Layak
6.45,20.95,22.44,71.0,37.8,Layak
6.4,20.86,22.03,71.1,37.8,Layak
6.43,20.95,22.14,71.1,37.8,Layak
6.38,20.77,22.03,71.7,38.0,Layak
6.38,20.58,22.24,71.1,37.8,Layak
6.38,20.77,22.24,71.3,37.8,Layak
6.35,20.49,22.24,71.2,37.5,Layak
6.4,20.77,22.14,71.2,37.8,Layak
6.35,20.49,22.14,71.2,37.8,Layak
6.27,20.13,22.24,71.2,37.9,Layak
6.35,20.67,22.24,71.2,37.9,Layak
6.35,20.58,22.03,71.2,37.9,Layak
6.3,20.31,22.24,71.2,37.9,Layak
6.32,20.49,22.03,71.2,37.7,Layak
6.3,20.31,22.14,71.2,37.9,Layak
6.3,20.22,22.03,71.2,37.9,Layak
6.3,20.31,22.14,71.3,37.9,Layak
6.3,20.31,22.03,71.3,37.9,Layak
6.32,20.4,21.93,71.3,37.9,Layak
6.3,20.4,21.93,71.3,37.9,Layak
6.3,20.22,22.03,71.3,37.9,Layak
6.3,20.13,22.14,71.3,37.9,Layak
6.3,20.31,22.03,71.3,37.9,Layak
6.3,20.13,22.03,71.4,37.9,Layak
6.3,20.13,21.93,71.4,37.9,Layak
6.22,19.95,21.93,71.5,37.9,Layak
6.25,20.04,21.84,71.5,37.9,Layak
6.22,19.95,21.93,72.0,38.1,Layak
6.22,20.04,21.84,71.5,37.9,Layak
6.22,20.04,21.93,71.6,37.9,Layak
6.22,19.77,22.14,72.1,38.5,Layak
6.22,19.77,22.03,71.5,37.9,Layak
6.25,19.95,21.93,71.6,37.9,Layak
6.22,19.18,22.24,71.7,37.9,Layak
6.25,19.86,21.93,72.2,38.0,Layak
6.27,19.86,22.03,71.6,37.9,Layak
6.25,19.69,22.14,71.7,37.9,Layak
6.27,19.95,22.14,71.7,37.6,Layak
6.3,19.86,22.24,71.7,37.9,Layak
6.27,19.86,22.03,71.8,37.9,Layak
6.25,19.69,22.75,71.7,37.9,Layak
6.25,19.86,21.84,71.8,37.9,Layak
6.25,19.77,21.84,71.8,37.9,Layak
6.22,19.6,22.03,71.8,37.9,Layak
6.22,19.51,22.24,71.8,37.9,Layak
6.22,19.6,22.03,72.3,38.0,Layak
6.22,19.51,21.93,72.3,38.0,Layak
6.22,19.51,22.14,72.4,38.0,Layak
6.19,19.43,22.14,72.3,38.0,Layak
6.22,19.6,22.14,72.4,38.0,Layak
6.22,19.69,21.93,72.5,38.0,Layak
6.17,19.43,21.93,72.4,38.1,Layak
6.14,19.34,22.03,72.4,38.0,Layak
6.14,19.34,21.84,72.5,38.0,Layak
6.14,19.51,21.74,72.5,38.8,Layak
6.12,19.26,22.03,72.5,38.0,Layak
6.14,19.18,21.93,72.5,38.0,Layak
6.14,19.26,22.24,72.5,38.0,Layak
6.22,19.34,22.03,72.5,38.1,Layak
6.25,19.26,22.34,72.6,38.0,Layak
6.22,19.26,22.24,72.5,38.0,Layak
6.25,19.51,22.03,72.0,37.9,Layak
6.27,19.18,22.44,72.6,38.0,Layak
6.3,19.18,22.44,72.6,38.0,Layak
6.35,19.18,22.54,72.6,38.0,Layak
6.35,19.18,22.54,72.6,38.0,Layak
6.38,19.26,22.34,72.6,38.0,Layak
6.35,19.09,22.44,72.6,38.0,Layak
6.35,19.26,22.34,72.0,37.0,Layak
6.3,19.09,22.44,72.6,38.0,Layak
6.3,19.18,22.14,72.6,38.0,Layak
6.27,19.09,22.14,72.7,38.0,Layak
6.25,19.01,22.34,72.6,38.1,Layak
6.22,19.09,21.93,72.6,38.1,Layak
6.22,19.18,21.93,72.6,38.1,Layak
6.19,18.93,22.24,72.5,38.3,Layak
6.25,19.09,22.03,72.7,38.1,Layak
6.22,19.01,22.24,72.5,38.1,Layak
6.22,18.93,22.34,71.9,37.8,Layak
6.22,18.84,22.24,72.4,38.2,Layak
6.19,18.76,22.03,72.4,38.2,Layak
6.19,19.01,22.03,72.5,38.1,Layak
6.19,18.84,21.93,72.4,38.2,Layak
6.14,18.68,22.14,72.3,38.2,Layak
6.17,18.93,21.93,72.3,38.2,Layak
6.14,18.68,22.03,72.3,38.2,Layak
6.09,18.76,21.93,72.3,38.1,Layak
6.04,18.6,21.93,72.3,38.2,Layak
6.07,18.6,21.74,72.3,38.2,Layak
6.07,18.6,21.84,72.2,38.2,Layak
6.07,18.76,21.84,72.2,38.2,Layak
6.09,18.68,21.74,72.2,38.2,Layak
6.09,18.52,21.93,72.2,38.4,Layak
6.14,18.6,21.74,72.3,38.2,Layak
6.14,18.6,22.03,72.3,38.2,Layak
6.17,18.52,22.24,72.3,38.2,Layak
6.19,18.68,22.03,72.3,38.2,Layak
6.19,18.6,21.93,72.3,38.2,Layak
6.19,18.68,22.03,72.3,38.2,Layak
6.17,18.44,22.24,72.2,38.4,Layak
6.17,18.44,22.34,72.4,38.2,Layak
6.19,18.44,22.34,72.4,38.2,Layak
6.22,18.6,22.24,71.8,37.9,Layak
4.06,17.82,18.08,72.4,38.2,Layak
3.7,17.37,15.24,72.5,38.2,Layak
3.81,17.37,15.12,72.5,38.1,Layak
3.98,17.44,15.18,72.6,38.1,Layak
4.22,17.74,16.01,72.6,38.0,Layak
4.42,17.74,16.69,72.7,38.0,Layak
4.62,17.74,17.7,72.8,38.0,Layak
4.88,17.82,18.47,72.8,38.0,Layak
5.07,18.05,19.04,72.8,38.0,Layak
5.28,18.05,19.8,72.8,38.0,Layak
5.44,17.97,20.51,72.8,38.0,Layak
5.6,18.05,20.97,72.8,38.0,Layak
5.79,18.28,21.35,72.9,38.0,Layak
5.94,18.13,21.93,72.8,38.2,Layak
6.07,18.05,22.34,72.7,38.0,Layak
6.14,17.97,22.65,72.8,38.0,Layak
6.22,18.13,22.86,72.8,38.0,Layak
6.32,18.05,22.86,72.7,38.0,Layak
6.4,18.13,23.28,72.8,38.0,Layak
6.45,17.97,23.28,72.8,38.0,Layak
6.53,17.97,23.61,72.8,38.1,Layak
6.61,18.2,23.5,72.8,38.0,Layak
6.64,17.97,23.72,72.9,38.0,Layak
6.56,17.89,23.61,72.3,37.6,Layak
6.59,18.05,23.5,72.9,38.0,Layak
6.45,17.89,23.18,72.9,38.1,Layak
6.56,17.82,23.28,72.9,38.1,Layak
6.64,18.05,23.39,72.8,38.2,Layak
6.64,17.89,23.5,72.8,38.2,Layak
6.72,17.82,23.5,72.8,38.2,Layak
6.75,17.82,23.72,72.7,38.2,Layak
6.83,17.74,24.17,72.8,38.2,Layak
6.89,17.82,24.06,72.6,38.2,Layak
6.92,17.67,24.4,72.7,38.2,Layak
6.92,17.82,24.29,72.7,38.2,Layak
6.94,17.74,24.29,72.7,38.2,Layak
6.97,17.59,23.95,72.8,38.2,Layak
6.97,17.67,24.29,72.8,38.5,Layak
7.0,17.52,24.4,72.7,38.3,Layak
6.78,17.37,24.17,72.7,38.3,Layak
6.25,17.52,23.07,72.6,38.2,Layak
6.35,17.44,22.86,72.6,38.3,Layak
6.48,17.3,23.18,72.6,38.3,Layak
6.61,17.22,23.39,72.7,38.3,Layak
6.72,17.22,23.39,72.6,38.5,Layak
6.78,17.37,23.61,72.6,38.4,Layak
6.86,17.15,23.83,72.7,38.4,Layak
6.94,17.22,24.17,72.5,38.0,Layak
7.06,17.15,24.29,72.5,38.4,Layak
7.11,17.08,24.17,72.5,38.4,Layak
7.11,17.3,24.63,72.5,38.4,Layak
7.23,17.3,24.63,72.5,38.4,Layak
7.26,17.01,24.87,72.5,38.4,Layak
5.94,16.72,23.07,72.4,38.4,Layak
5.37,16.51,20.97,72.4,38.1,Layak
5.51,16.79,20.69,72.4,38.4,Layak
5.75,16.72,21.25,72.4,38.4,Layak
5.99,16.72,21.54,72.4,38.4,Layak
6.35,16.93,22.34,72.4,38.4,Layak
6.83,17.3,23.39,72.4,38.4,Layak
7.03,17.3,23.72,72.5,38.4,Layak
7.11,17.15,24.06,72.4,38.3,Layak
7.38,17.22,24.52,72.5,38.4,Layak
7.43,17.08,24.87,72.5,38.4,Layak
7.52,16.93,24.87,72.5,38.4,Layak
7.62,16.79,24.99,72.5,38.6,Layak
7.77,16.93,25.23,72.5,38.5,Layak
7.83,16.72,25.6,72.5,38.5,Layak
7.06,16.31,24.63,72.7,38.5,Layak
7.14,16.51,24.52,72.4,38.5,Layak
7.29,16.58,24.29,72.5,38.5,Layak
6.97,16.11,23.83,72.5,38.5,Layak
7.11,15.91,23.83,72.4,38.7,Layak
7.29,15.84,24.52,72.3,38.5,Layak
7.43,15.91,24.75,72.3,38.5,Layak
7.62,15.71,24.87,73.0,39.6,Layak
7.71,15.65,25.11,72.3,38.5,Layak
7.83,15.58,25.6,72.3,38.5,Layak
7.92,15.91,25.6,72.3,38.5,Layak
8.02,15.58,25.85,72.3,38.5,Layak
8.11,15.65,25.72,72.2,38.6,Layak
8.15,15.45,25.72,72.3,38.6,Layak
8.21,15.52,25.85,72.2,38.6,Layak
8.28,15.33,25.72,72.2,38.6,Layak
